Date,SP_Composite,Dividend,Earnings,CPI,Date_Fraction,Long_Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Year
1963.11,72.62,2.25667,4.0,30.8,1963.8749999999156,4.12,721.785034090909,22.429504721590906,87730.4573504301,39.756818181818176,1963.0
1963.12,74.17,2.28,4.02,30.9,1963.958333333249,4.13,734.8050703883493,22.588048543689318,89541.78897474988,39.82629611650484,1963.0
1964.01,76.45,2.29667,4.07333,30.9,1964.0416666665822,4.17,757.3931189320388,22.75319888106796,92525.37542798098,40.354638497572815,1964.0
1964.02,77.39,2.31333,4.12667,30.9,1964.1249999999154,4.15,766.7057354368931,22.91825014805825,93896.34551907149,40.88307994902912,1964.0
1964.03,78.8,2.33,4.18,30.9,1964.2083333332487,4.22,780.6746601941746,23.08340048543689,95842.66142039609,41.41142233009708,1964.0
1964.04,79.94,2.34667,4.23,30.9,1964.291666666582,4.23,791.9686844660192,23.24855082281553,97467.06783590626,41.906774271844654,1964.0
1964.05,80.72,2.36333,4.28,30.9,1964.3749999999152,4.2,799.6961747572815,23.41360208980582,98658.20973438505,42.402126213592226,1964.0
1964.06,80.24,2.38,4.33,31,1964.4583333332484,4.17,792.3764709677417,23.502691935483867,97996.80719698008,42.75909919354838,1964.0
1964.07,83.22,2.4,4.37667,31.1,1964.5416666665817,4.19,819.1617540192924,23.623987138263658,101552.93899151999,43.08099824517684,1964.0
1964.08,82,2.42,4.42333,31,1964.624999999915,4.19,809.7566129032256,23.89769516129032,100633.85357274508,43.68074047016128,1964.0
1964.09,83.41,2.44,4.47,31.1,1964.7083333332482,4.2,821.0319863344049,24.01772025723472,102283.85626432027,43.999676045016066,1964.0
1964.1,84.85,2.46,4.49667,31.1,1964.7916666665815,4.19,835.2063786173632,24.21458681672025,104301.08373770246,44.26219760209002,1964.0
1964.11,85.44,2.48,4.52333,31.2,1964.8749999999147,4.15,838.3183846153845,24.333211538461534,104942.9418138696,44.381913608173065,1964.0
1964.12,83.96,2.5,4.55,31.2,1964.958333333248,4.18,823.7969519230767,24.529447115384613,103380.99845002787,44.643593749999994,1964.0
1965.01,86.12,2.51667,4.59333,31.2,1965.0416666665812,4.19,844.9903942307692,24.693009468749995,106298.86741262313,45.06873812740384,1965.0
1965.02,86.75,2.53333,4.63667,31.2,1965.1249999999145,4.21,851.171814903846,24.856473704326916,107337.05980639717,45.49398062259615,1965.0
1965.03,86.83,2.55,4.68,31.3,1965.2083333332478,4.21,849.2348506389775,24.940099840255584,107354.88820829852,45.77241853035142,1965.0
1965.04,87.97,2.57,4.73333,31.4,1965.291666666581,4.2,857.6444641719744,25.055658439490443,108681.92638950168,46.1465757826433,1965.0
1965.05,89.28,2.59,4.78667,31.4,1965.3749999999143,4.21,870.416025477707,25.250644108280248,110567.00659884558,46.66660256130572,1965.0
1965.06,85.04,2.61,4.84,31.6,1965.4583333332475,4.21,823.8317278481012,25.284581487341764,104917.16082534175,46.887882911392396,1965.0
1965.07,84.91,2.62667,4.88667,31.6,1965.5416666665808,4.2,822.5723425632909,25.44607343117088,105026.82685303221,47.34000222863923,1965.0
1965.08,86.49,2.64333,4.93333,31.6,1965.624999999914,4.25,837.8787175632909,25.607468499208856,107253.62503086649,47.792024670094925,1965.0
1965.09,89.38,2.66,4.98,31.6,1965.7083333332473,4.29,865.8758212025314,25.768960443037972,111112.30846117882,48.244143987341765,1965.0
1965.1,91.39,2.68,5.05,31.7,1965.7916666665806,4.35,882.5549597791796,25.880810725552045,113529.39559753313,48.76794558359621,1965.0
1965.11,92.15,2.7,5.12,31.7,1965.8749999999138,4.45,889.8942941640378,26.073951104100946,114753.01365928575,49.44393690851734,1965.0
1965.12,91.73,2.72,5.19,31.8,1965.958333333247,4.62,883.0526910377357,26.18449056603773,114152.15711537369,49.96231839622641,1965.0
1966.01,93.32,2.74,5.24,31.8,1966.0416666665803,4.61,898.3590660377356,26.377023584905658,116414.95742448507,50.443650943396214,1966.0
1966.02,92.69,2.76,5.29,32,1966.1249999999136,4.83,886.7174367187498,26.40349687499999,115191.49011314705,50.606702343749994,1966.0
1966.03,88.88,2.78,5.34,32.1,1966.2083333332469,4.87,847.620317757009,26.51197663551401,110399.47966896671,50.92588317757008,1966.0
1966.04,91.6,2.79667,5.38,32.3,1966.29166666658,4.75,868.1510526315788,26.505807907894734,113361.22407057992,50.98965789473683,1966.0
1966.05,86.78,2.81333,5.42,32.3,1966.3749999999134,4.78,822.4688684210525,26.66370525,107686.28714579112,51.36876315789473,1966.0
1966.06,86.06,2.83,5.46,32.4,1966.4583333332466,4.81,813.1275509259259,26.73891435185185,106754.96849438445,51.58815277777777,1966.0
1966.07,85.84,2.85,5.47667,32.5,1966.5416666665799,5.02,808.5533723076921,26.84502692307692,106448.13312309557,51.586439859230765,1966.0
1966.08,80.65,2.87,5.49333,32.7,1966.6249999999131,5.22,755.0208830275228,26.868071100917426,99695.21398190572,51.426892341743105,1966.0
1966.09,77.81,2.89,5.51,32.7,1966.7083333332464,5.18,728.4336628440365,27.055305045871556,96482.26324405115,51.58295183486237,1966.0
1966.1,77.13,2.88333,5.52333,32.9,1966.7916666665797,5.01,717.678239361702,26.82877217553191,95353.81565389132,51.393410473404245,1966.0
1966.11,80.99,2.87667,5.53667,32.9,1966.874999999913,5.16,753.5947180851061,26.766802292553187,100422.19609596455,51.51753633510638,1966.0
1966.12,81.33,2.87,5.55,32.9,1966.9583333332462,4.84,756.7583457446807,26.704739361702124,101140.32411883463,51.641569148936156,1966.0
1967.01,84.45,2.88,5.51667,32.9,1967.0416666665794,4.58,785.7892819148935,26.79778723404255,105318.75137863157,51.33144059042552,1967.0
1967.02,87.36,2.89,5.48333,32.9,1967.1249999999127,4.63,812.8662127659574,26.890835106382976,109248.1987731708,51.02121898404254,1967.0
1967.03,89.42,2.9,5.45,33,1967.208333333246,4.54,829.5127590909088,26.90211363636363,111786.77456528936,50.55742045454544,1967.0
1967.04,90.96,2.9,5.41,33.1,1967.2916666665792,4.59,841.2494682779454,26.820838368580052,113669.63905163114,50.03473640483382,1967.0
1967.05,92.59,2.9,5.37,33.2,1967.3749999999125,4.85,853.7453381024095,26.740052710843365,115659.17416658069,49.51520105421686,1967.0
1967.06,91.43,2.9,5.33,33.3,1967.4583333332457,5.02,840.5176373873874,26.65975225225225,114168.15437422699,48.99878603603603,1967.0
1967.07,93.01,2.90667,5.32,33.4,1967.541666666579,5.16,852.482598053892,26.641066479790418,116094.92051646068,48.76042814371257,1967.0
1967.08,94.49,2.91333,5.31,33.5,1967.6249999999122,5.28,863.462312686567,26.62240088283582,117892.31739073033,48.52349328358208,1967.0
1967.09,95.81,2.92,5.3,33.6,1967.7083333332455,5.3,872.9189218749998,26.60393749999999,119486.16602233255,48.28796874999998,1967.0
1967.1,95.66,2.92,5.31,33.7,1967.7916666665787,5.48,868.9660727002964,26.524994065281888,119247.65974893908,48.23552002967357,1967.0
1967.11,92.66,2.92,5.32,33.8,1967.874999999912,5.75,839.2240872781064,26.446517751479284,115468.62262825192,48.183381656804734,1967.0
1967.12,95.3,2.92,5.33,33.9,1967.9583333332453,5.7,860.5885176991148,26.368504424778756,118710.4853231129,48.13155088495574,1967.0
1968.01,95.04,2.93,5.36667,34.1,1968.0416666665785,5.53,853.2069677419353,26.30362390029325,117994.62902020288,48.17845367815248,1968.0
1968.02,90.75,2.94,5.40333,34.2,1968.1249999999118,5.56,812.3120065789471,26.316223684210517,112642.3270313834,48.365728203947356,1968.0
1968.03,89.09,2.95,5.44,34.3,1968.208333333245,5.74,795.12825,26.32875,110563.72421760476,48.55199999999999,1968.0
1968.04,95.67,2.96333,5.48333,34.4,1968.2916666665783,5.64,851.3726140988371,26.370837342296507,118690.15899081287,48.796456528343015,1968.0
1968.05,97.87,2.97667,5.52667,34.5,1968.3749999999116,5.87,868.4260413043477,26.41276943260869,121374.43447582825,49.039584649999995,1968.0
